t (s),V (mV)
0,26.4749
0.973,26.3981
1.972,26.3262
2.973,26.2566
3.973,26.1863
4.973,26.1177
5.973,26.0475
6.972,25.9772
7.972,25.9074
8.972,25.8378
9.973,25.77
10.973,25.6996
11.972,25.6317
12.972,25.5634
13.972,25.4945
14.972,25.4265
15.972,25.359
16.973,25.2939
17.973,25.2268
18.972,25.1582
19.972,25.0902
20.972,25.0235
21.972,24.9574
22.972,24.8913
23.972,24.826
24.972,24.7601
25.972,24.6956
26.973,24.6326
27.972,24.5655
28.972,24.5006
29.972,24.436
30.972,24.3723
31.973,24.3091
32.972,24.2447
33.972,24.1805
34.972,24.1178
35.972,24.0543
36.973,23.9917
37.973,23.9293
38.973,23.8654
39.973,23.804
40.973,23.7419
41.972,23.6793
42.972,23.6167
43.972,23.5532
44.972,23.4912
45.972,23.4313
46.972,23.3709
47.972,23.3092
48.972,23.2471
49.972,23.1869
50.972,23.1254
51.972,23.0658
52.972,23.0058
53.972,22.9467
54.972,22.8872
55.972,22.8277
56.972,22.7667
57.972,22.7071
58.972,22.6469
59.972,22.5872
60.972,22.5287
61.972,22.4695
62.972,22.4107
63.972,22.3538
64.972,22.2955
65.972,22.2378
66.972,22.179
67.972,22.1214
68.972,22.0645
69.972,22.0064
70.972,21.9487
71.973,21.8923
72.972,21.8364
73.972,21.7788
74.972,21.7215
75.972,21.6652
76.972,21.6103
77.972,21.5529
78.972,21.4967
79.972,21.439
80.972,21.384
81.972,21.3286
82.972,21.2727
83.972,21.2181
84.972,21.1639
85.972,21.1069
86.972,21.052
87.972,20.9977
88.973,20.9422
89.973,20.888
90.972,20.8343
91.972,20.78
92.972,20.7253
93.972,20.6714
94.972,20.6181
95.972,20.5641
96.972,20.5103
97.972,20.4574
98.972,20.404
99.972,20.3505
100.972,20.2978
101.973,20.2439
102.972,20.1922
103.972,20.1402
104.972,20.0873
105.972,20.0362
106.972,19.983
107.973,19.9322
108.972,19.8808
109.972,19.83
110.972,19.7787
111.973,19.7274
112.973,19.6765
113.972,19.625
114.972,19.5739
115.972,19.5227
116.972,19.4728
117.973,19.4219
118.972,19.3708
119.972,19.3207
120.972,19.2711
121.972,19.2203
122.972,19.1699
123.972,19.1211
124.972,19.0706
125.972,19.0214
126.973,18.9721
127.972,18.9242
128.973,18.8741
129.972,18.8254
130.972,18.7777
131.972,18.7276
132.972,18.6796
133.972,18.6313
134.972,18.5843
135.972,18.5366
136.972,18.4896
137.972,18.4414
138.972,18.3932
139.972,18.3451
140.972,18.298
141.972,18.2507
142.972,18.2042
143.972,18.1573
144.972,18.1096
145.972,18.064
146.972,18.017
147.972,17.9702
148.973,17.9212
149.973,17.8758
150.972,17.8284
151.973,17.7828
152.972,17.7358
153.972,17.69
154.972,17.6437
155.972,17.5972
156.972,17.5518
157.972,17.5054
158.972,17.4601
159.973,17.4157
160.972,17.3713
161.973,17.3259
162.972,17.2813
163.972,17.2358
164.972,17.1909
165.972,17.1472
166.972,17.1028
167.972,17.0595
168.973,17.015
169.972,16.9713
170.972,16.9274
171.972,16.8831
172.972,16.8399
173.972,16.7963
174.972,16.7531
175.972,16.7098
176.972,16.6668
177.972,16.6232
178.972,16.5802
179.972,16.5382
180.972,16.4959
181.973,16.4508
182.972,16.4096
183.973,16.3653
184.972,16.3232
185.973,16.2797
186.972,16.2393
187.973,16.1962
188.972,16.1563
189.972,16.1149
190.972,16.0721
191.972,16.0306
192.972,15.9891
193.972,15.9474
194.972,15.9064
195.972,15.8656
196.972,15.8239
197.972,15.7832
198.972,15.7423
199.972,15.7013
200.972,15.6606
201.972,15.6219
202.972,15.5809
203.972,15.5395
204.972,15.5
205.972,15.4593
206.972,15.419
207.972,15.3796
208.972,15.3401
209.972,15.3009
210.972,15.2613
211.972,15.2216
212.973,15.1819
213.973,15.1441
214.973,15.1038
215.973,15.0654
216.972,15.0283
217.972,14.9893
218.972,14.9502
219.972,14.9124
220.972,14.8738
221.972,14.8358
222.972,14.7971
223.972,14.7586
224.972,14.719
225.972,14.6811
226.972,14.643
227.972,14.6056
228.972,14.5671
229.972,14.5303
230.972,14.4937
231.972,14.456
232.972,14.419
233.972,14.3808
234.972,14.3439
235.972,14.3068
236.972,14.2699
237.972,14.2324
238.972,14.1963
239.972,14.16
240.972,14.1234
241.972,14.0875
242.972,14.0513
243.972,14.0146
244.972,13.9787
245.972,13.9428
246.972,13.9077
247.972,13.872
248.972,13.8372
249.972,13.8022
250.972,13.7669
251.973,13.7329
252.972,13.6965
253.972,13.6617
254.972,13.6275
255.972,13.5928
256.973,13.5599
257.973,13.5237
258.973,13.4895
259.972,13.4525
260.972,13.4186
261.972,13.3836
262.973,13.3508
263.972,13.3153
264.972,13.2805
265.972,13.2466
