t (s),V (mV)
0,11.6975
0.998,11.6293
1.999,11.5699
2.998,11.5034
3.998,11.4193
4.998,11.3583
5.999,11.3031
6.998,11.2444
7.998,11.1824
8.998,11.1276
9.999,11.0652
10.999,11.0054
11.999,10.9515
12.999,10.8877
13.999,10.8334
14.999,10.7787
15.998,10.7018
16.999,10.6686
17.998,10.5958
18.998,10.5345
19.998,10.4728
20.997,10.4131
21.997,10.3599
22.997,10.2981
23.997,10.2424
24.998,10.1926
25.998,10.1407
26.997,10.07
27.997,10.0079
28.999,9.9647
29.998,9.898
30.999,9.8548
31.999,9.8076
32.998,9.7487
33.999,9.6924
34.998,9.6404
35.999,9.5861
36.999,9.5362
37.998,9.4861
38.998,9.4252
39.998,9.3816
40.999,9.3242
41.998,9.2697
42.999,9.2049
43.998,9.1495
44.999,9.1132
45.998,9.0647
46.999,9.0251
47.999,8.9554
48.999,8.9143
49.999,8.8724
50.999,8.8119
51.999,8.7747
52.999,8.7299
53.998,8.6745
54.999,8.6323
55.998,8.5792
56.998,8.5227
57.998,8.4847
58.999,8.4349
59.998,8.3824
60.999,8.3294
61.999,8.2901
62.998,8.2372
63.999,8.1892
64.999,8.1441
65.999,8.0963
66.999,8.0576
67.998,8.021
68.999,7.9863
69.999,7.9259
70.998,7.8942
71.999,7.8512
72.999,7.8016
73.999,7.7543
74.998,7.7079
75.999,7.6719
76.999,7.6238
77.998,7.5805
78.999,7.5351
79.999,7.4935
80.998,7.4583
81.999,7.4128
82.999,7.3711
83.999,7.3294
84.998,7.2818
85.998,7.2445
86.999,7.2003
87.999,7.1649
88.999,7.1304
89.998,7.0856
90.999,7.0555
91.999,7.0165
92.999,6.9799
93.999,6.9399
94.999,6.9056
95.998,6.8696
96.999,6.8256
97.998,6.7881
98.999,6.7465
99.999,6.7034
100.999,6.6778
101.999,6.6415
102.998,6.5993
103.999,6.5637
