t (s),V (mV)
0,17.6954
1.049,17.6327
2.06,17.5584
3.059,17.4789
4.059,17.4084
5.06,17.3382
6.059,17.2744
7.06,17.1979
8.059,17.1317
9.059,17.0526
10.059,16.9746
11.059,16.9124
12.059,16.84
13.059,16.7712
14.059,16.7024
15.059,16.6385
16.059,16.5583
17.06,16.4863
18.059,16.4127
19.06,16.3459
20.059,16.279
21.059,16.2115
22.06,16.1519
23.06,16.0819
24.06,16.0159
25.059,15.9498
26.059,15.8893
27.059,15.8226
28.059,15.748
29.059,15.6736
30.059,15.6195
31.059,15.5479
32.059,15.4885
33.059,15.426
34.06,15.3662
35.059,15.2968
36.059,15.2357
37.059,15.1741
38.059,15.105
39.059,15.0463
40.059,14.9803
41.059,14.9182
42.059,14.8517
43.059,14.7842
44.059,14.7209
45.059,14.6688
46.06,14.6058
47.06,14.5468
48.059,14.4893
49.059,14.4317
50.06,14.364
51.059,14.2958
52.059,14.2324
53.06,14.184
54.059,14.1258
55.06,14.0681
56.059,14.0153
57.059,13.9588
58.059,13.9039
59.06,13.8412
60.06,13.7799
61.06,13.734
62.06,13.6647
63.06,13.6185
64.059,13.5513
65.059,13.489
66.059,13.4501
67.059,13.3862
68.06,13.3309
69.059,13.2818
70.059,13.2212
71.06,13.1646
72.059,13.1138
73.059,13.0609
74.06,12.9969
75.059,12.9475
76.06,12.8863
77.06,12.8391
78.06,12.7863
79.059,12.7429
80.059,12.6856
81.059,12.6298
82.06,12.5782
83.06,12.5256
84.06,12.4707
85.059,12.4199
86.059,12.3719
87.06,12.3249
88.06,12.2692
89.059,12.2166
90.059,12.1721
91.06,12.1232
92.059,12.0785
93.059,12.0203
94.06,11.9677
95.059,11.9209
96.06,11.8716
97.059,11.8234
98.06,11.7721
99.059,11.7189
100.059,11.6745
101.06,11.6247
102.059,11.5696
103.06,11.519
104.059,11.4822
105.06,11.4347
106.06,11.3826
107.059,11.3445
108.059,11.2984
109.06,11.2484
110.059,11.1965
111.059,11.1548
112.059,11.1025
113.059,11.0591
114.059,11.0043
115.059,10.9642
116.059,10.9072
117.059,10.8704
118.059,10.8264
119.059,10.7768
120.059,10.7363
121.059,10.6878
122.059,10.6392
123.059,10.6027
124.058,10.5525
125.058,10.508
126.058,10.475
127.058,10.4297
128.058,10.3802
129.058,10.3492
130.058,10.3022
131.058,10.2619
132.058,10.2145
133.058,10.17
134.058,10.1253
135.058,10.0837
136.058,10.0435
137.058,10.0017
138.058,9.9583
139.059,9.9184
140.059,9.8818
141.059,9.8348
142.059,9.7937
143.059,9.7559
144.059,9.7124
145.059,9.6763
146.059,9.639
147.059,9.6009
148.059,9.5545
149.059,9.514
150.059,9.4787
151.059,9.4381
