t (s),V (mV)
0,21.1375
0.969,21.0894
1.9,21.0363
2.869,20.9753
3.841,20.915
4.842,20.8536
5.842,20.7938
6.841,20.7338
7.841,20.675
8.841,20.6154
9.842,20.5568
10.841,20.5008
11.841,20.4426
12.841,20.384
13.841,20.3253
14.841,20.2683
15.841,20.2099
16.841,20.152
17.842,20.0936
18.841,20.0377
19.842,19.9817
20.841,19.9249
21.841,19.8692
22.841,19.8128
23.842,19.7567
24.841,19.7016
25.842,19.647
26.841,19.5916
27.841,19.5369
28.841,19.482
29.842,19.4276
30.842,19.3738
31.841,19.319
32.842,19.266
33.841,19.2125
34.841,19.1593
35.841,19.105
36.842,19.053
37.841,18.9992
38.841,18.9473
39.842,18.895
40.841,18.8415
41.842,18.79
42.841,18.7379
43.841,18.6867
44.842,18.6339
45.841,18.582
46.841,18.5315
47.841,18.48
48.841,18.4283
49.841,18.3783
50.841,18.3274
51.841,18.277
52.841,18.2276
53.842,18.1779
54.841,18.1283
55.841,18.0771
56.841,18.028
57.841,17.9778
58.841,17.929
59.841,17.8792
60.841,17.8311
61.841,17.7821
62.841,17.7334
63.841,17.6849
64.841,17.6354
65.841,17.5876
66.841,17.54
67.842,17.4918
68.841,17.4443
69.841,17.3973
70.841,17.3502
71.841,17.3037
72.841,17.2561
73.841,17.2106
74.841,17.1643
75.841,17.118
76.841,17.071
77.841,17.0268
78.841,16.9799
79.841,16.9341
80.841,16.8888
81.841,16.843
82.841,16.7978
83.841,16.7531
84.841,16.7076
85.841,16.6615
86.841,16.6166
87.841,16.5713
88.841,16.5259
89.841,16.4806
90.842,16.436
91.841,16.3907
92.841,16.3471
93.841,16.3028
94.841,16.2594
95.841,16.2161
96.841,16.1725
97.841,16.1292
98.842,16.0868
99.842,16.0433
100.841,15.9999
101.841,15.958
102.841,15.9152
103.841,15.873
104.841,15.8305
105.841,15.7887
106.841,15.7457
107.841,15.7037
108.841,15.6618
109.841,15.6195
110.841,15.5784
111.841,15.5371
112.841,15.4956
113.841,15.455
114.841,15.414
115.841,15.3733
116.841,15.3332
117.841,15.292
118.841,15.2521
119.841,15.2122
120.841,15.1712
121.841,15.1314
122.841,15.091
123.841,15.0512
124.841,15.011
125.841,14.9721
126.841,14.9328
127.841,14.8929
128.841,14.8529
129.841,14.8131
130.841,14.775
131.841,14.7346
132.842,14.695
133.842,14.6567
134.841,14.6174
135.841,14.5781
136.841,14.5395
137.841,14.4999
138.841,14.4615
139.841,14.423
140.844,14.3851
141.842,14.3444
142.841,14.3063
143.841,14.2682
144.841,14.2284
145.841,14.1901
146.841,14.1517
147.841,14.1122
148.841,14.0744
149.842,14.0362
150.842,13.999
151.842,13.9606
152.841,13.9235
153.841,13.8867
154.841,13.8497
155.841,13.8127
156.841,13.7765
157.841,13.7387
158.841,13.7026
159.841,13.6659
160.841,13.6302
161.841,13.5949
162.841,13.5587
163.841,13.5227
164.841,13.4863
165.841,13.452
166.841,13.4164
167.841,13.3814
168.841,13.3472
169.841,13.3119
170.841,13.2756
171.841,13.2427
172.841,13.2073
173.841,13.1716
174.841,13.1374
175.841,13.1029
176.842,13.0701
177.842,13.0361
178.842,13.0026
179.842,12.9694
180.841,12.935
181.841,12.9014
182.841,12.8698
183.842,12.834
184.841,12.8008
185.841,12.7668
186.841,12.732
187.841,12.6988
188.842,12.6643
189.841,12.6317
190.841,12.5974
191.841,12.565
192.841,12.5305
193.841,12.4974
194.841,12.4646
195.841,12.4318
196.841,12.3983
197.841,12.3649
198.841,12.3321
199.841,12.3003
200.841,12.2669
201.842,12.2336
202.841,12.2014
203.841,12.1694
204.841,12.1374
205.841,12.1055
206.841,12.0731
207.841,12.0415
208.841,12.0097
209.841,11.9785
210.841,11.9461
211.841,11.9147
212.841,11.8834
213.841,11.8509
214.841,11.8195
215.841,11.7883
216.841,11.7564
217.841,11.7256
218.841,11.6941
219.841,11.663
220.841,11.6321
221.841,11.6011
222.841,11.5711
223.842,11.5406
224.841,11.5093
225.841,11.4796
226.841,11.4493
227.841,11.4196
228.841,11.3888
229.841,11.359
230.841,11.3291
231.841,11.2996
232.841,11.2695
233.841,11.2392
234.842,11.2102
235.841,11.1803
236.842,11.1508
237.841,11.1211
238.841,11.0923
239.841,11.0621
240.841,11.0336
241.841,11.0036
242.841,10.9754
243.841,10.9467
244.841,10.9169
245.842,10.888
246.841,10.8589
247.841,10.8304
248.842,10.8011
249.841,10.7732
250.842,10.7451
251.841,10.7165
252.841,10.6883
253.841,10.6605
254.841,10.6319
255.841,10.6037
