"U_c / U_c(1)";"\sigma_{U_c / U_c(1)}";"f / f_0";"\sigma_{f / f_0}"
0.6406482912;	0.003218731484;	0.9689463686;	0.00006490152403
0.678564653;	0.003275309075;	0.9718690633;	0.00006468866765
0.7246388595;	0.003347020055;	0.9751570948;	0.00006447816972
0.7683551508;	0.003417889215;	0.9780797896;	0.00006431605709
0.8643521153;	0.003582353135;	0.9842905159;	0.00006399598336
0.9068487953;	0.003658708312;	0.9872132106;	0.00006381552995
0.9524080549;	0.003742773322;	0.990866579;	0.00006361461019
1;	            0.003832868695;	1;	            0.00006321928516
0.9481258639;	0.00373477866;	1.008768084;	0.00006291768324
0.9038133182;	0.003653186872;	1.012786789;	0.00006268423271
0.858389571;	0.00357180657;	1.016440158;	0.00006247464479
0.8157031737;	0.003497554816;	1.019728189;	0.00006228813109
0.7684093558;	0.003417978725;	1.023381558;	0.00006208320821
0.7231482234;	0.003344651084;	1.027034926;	0.00006190083011
0.6792151123;	0.003276299267;	1.030688295;	0.00006170043377
0.6378567363;	0.003214656492;	1.034341663;	0.00006158131598
