70V,,80V,,90V,,100V,,110V,,120V,
Is,Ia,Is,Ia,Is,Ia,Is,Ia,Is,Ia,ls,la
2.5,78,2.5,75,2.5,78,2.5,80,2.5,80,2.5,78
5,79,5,76,5,78,5,80,5,80,5,78
7.5,76,7.5,75,7.5,78,7.5,79,7.5,80,7.5,78
10,69,10,70,10,74,10,79,10,76,10,76
11,60,11,66,11,70,11,72,11,79,11,75
12,52,12,62,12,70,12,71,12,72,12,73
13,47,13,56,13,64,13,70,13,70,13,70
14,41,14,51,14,60,14,66,14,70,14,71
15,28,15,46,15,53,15,62,15,65,15,65
16,11,16,39,16,49,16,54,16,62,16,64
17,5,17,21,17,38,17,51,17,57,17,60
18,4,18,10,18,29,18,44,18,54,18,56
19,2,19,5,19,16,19,29,19,49,19,51
20,2,20,4,20,5,20,17,20,40,20,46
21,1,21,3,21,3,21,6,21,28,21,35
22,1,22,2,22,2,22,5,22,11,22,20
23,1,23,1,23,1,23,4,23,5,23,10
24,0,24,1,24,1,24,2,24,3,24,5
25,0,25,0,25,1,25,2,25,2,25,5
26,0,26,0,26,1,26,2,26,1,26,4
27,0,27,0,27,0,27,1,27,1,27,3
28,0,28,0,28,0,28,1,28,1,28,2
29,0,29,0,29,0,29,1,29,1,29,2
30,0,30,0,30,0,30,0,30,0,30,1
35,0,35,0,35,0,35,0,35,0,35,0
40,0,40,0,40,0,40,0,40,0,40,0
