"﻿Ф, мВб","\sigma_Ф, мВб",\varepsilon_Ф,"B, мТл",\varepsilon_B,"\sigma_B, мТл","I, A","\sigma_I, A"
0.3,0.05,0.167,1.0,0.17,0.17,0.28,0.005
0.4,0.05,0.125,1.3,0.13,0.17,0.38,0.005
0.5,0.05,0.100,1.7,0.10,0.17,0.49,0.005
0.6,0.05,0.083,2.0,0.08,0.17,0.59,0.005
0.8,0.05,0.063,2.7,0.06,0.17,0.7,0.005
0.9,0.05,0.056,3.0,0.06,0.17,0.81,0.005
1.0,0.05,0.050,3.3,0.05,0.17,0.93,0.005
1.1,0.05,0.045,3.7,0.05,0.17,1.01,0.005
1.2,0.05,0.042,4.0,0.04,0.17,1.15,0.005
1.3,0.05,0.038,4.3,0.04,0.17,1.26,0.005
