5882,,6030,,6217,,6599,,7032,
I,U,I,U,I,U,I,U,I,U
0.161,0.6,0.165,0.6,0.189,0.6,0.19,0.6,0.6,7.161
0.137,0.5,0.136,0.5,0.153,0.5,0.145,0.5,0.598,6.55
0.117,0.4,0.11,0.4,0.125,0.4,0.118,0.4,0.594,6
0.093,0.3,0.087,0.3,0.1,0.3,0.081,0.3,0.59,5.5
0.078,0.2,0.068,0.2,0.079,0.2,0.057,0.2,0.582,5
0.06,0.1,0.05,0.1,0.057,0.1,0.035,0.1,0.572,4.5
0.043,0,0.031,0,0.038,0,0.016,0,0.554,4
0.031,-0.1,0.025,-0.1,0.024,-0.1,0.011,-0.1,0.533,3.5
0.019,-0.2,0.014,-0.2,0.012,-0.2,0.003,-0.2,0.487,3
0.009,-0.3,0.005,-0.3,0.004,-0.3,,,0.43,2.5
0.004,-0.4,,,,,,,0.36,2
,,,,,,,,0.22,1.5
,,,,,,,,0.099,1
,,,,,,,,0.075,0.8
,,,,,,,,0.064,0.7
,,,,,,,,0.053,0.6
,,,,,,,,0.041,0.5
,,,,,,,,0.031,0.4
,,,,,,,,0.022,0.3
,,,,,,,,0.013,0.2
,,,,,,,,0.011,0.165
,,,,,,,,0.004,0.1
