Background_N,Background_t_s,Pb_l_mm,Pb_N,Pb_t_s,Fe_l_mm,Fe_N,Fe_t_s,Al_l_mm,Al_N,Al_t_s
4718,180,4.9,115157,10,10.2,122878,10,19.6,119331,8
,,4.8,96753,15,10.2,105554,15,20.1,109198,11
,,4.9,107057,30,10.1,118429,30,19.8,98809,15
,,4.5,106940,50,10.2,101010,45,19.8,104645,24
,,4.8,98883,80,10.2,105057,80,20,117274,40
,,4.5,100934,132,9.9,101479,132,20,118212,60
,,4.8,87153,180,10.2,82364,180,20.1,132341,100
,,4.7,58376,180,10.1,51822,180,20.1,109578,120
,,4.3,43500,180,10.2,34686,180,20.1,114209,180
,,4.5,33469,180,10.1,24472,180,20.3,80361,180
