"DeviceName","Стенд N 2"
"LTime","305.688692"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","1"
"66","1"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","1"
"79","2"
"80","3"
"81","2"
"82","5"
"83","7"
"84","9"
"85","7"
"86","5"
"87","15"
"88","22"
"89","23"
"90","30"
"91","20"
"92","24"
"93","30"
"94","46"
"95","40"
"96","43"
"97","50"
"98","58"
"99","49"
"100","68"
"101","69"
"102","87"
"103","80"
"104","98"
"105","96"
"106","102"
"107","135"
"108","134"
"109","137"
"110","156"
"111","182"
"112","176"
"113","208"
"114","205"
"115","196"
"116","197"
"117","195"
"118","182"
"119","140"
"120","140"
"121","109"
"122","116"
"123","121"
"124","72"
"125","70"
"126","50"
"127","61"
"128","47"
"129","53"
"130","59"
"131","43"
"132","47"
"133","59"
"134","53"
"135","54"
"136","88"
"137","92"
"138","100"
"139","93"
"140","118"
"141","142"
"142","167"
"143","173"
"144","224"
"145","250"
"146","244"
"147","312"
"148","348"
"149","390"
"150","406"
"151","488"
"152","567"
"153","655"
"154","686"
"155","783"
"156","826"
"157","903"
"158","930"
"159","1008"
"160","1029"
"161","986"
"162","1003"
"163","1023"
"164","1007"
"165","934"
"166","869"
"167","806"
"168","726"
"169","676"
"170","543"
"171","507"
"172","385"
"173","351"
"174","283"
"175","280"
"176","187"
"177","165"
"178","128"
"179","137"
"180","87"
"181","84"
"182","91"
"183","70"
"184","56"
"185","59"
"186","49"
"187","58"
"188","59"
"189","68"
"190","53"
"191","71"
"192","62"
"193","55"
"194","50"
"195","65"
"196","59"
"197","48"
"198","52"
"199","62"
"200","53"
"201","56"
"202","46"
"203","56"
"204","70"
"205","68"
"206","62"
"207","51"
"208","49"
"209","68"
"210","55"
"211","73"
"212","55"
"213","53"
"214","59"
"215","68"
"216","65"
"217","51"
"218","61"
"219","57"
"220","64"
"221","46"
"222","60"
"223","70"
"224","54"
"225","59"
"226","58"
"227","70"
"228","63"
"229","56"
"230","61"
"231","65"
"232","45"
"233","49"
"234","59"
"235","50"
"236","49"
"237","55"
"238","49"
"239","53"
"240","49"
"241","54"
"242","50"
"243","47"
"244","35"
"245","44"
"246","60"
"247","59"
"248","54"
"249","45"
"250","51"
"251","45"
"252","56"
"253","50"
"254","31"
"255","49"
"256","47"
"257","52"
"258","43"
"259","45"
"260","55"
"261","38"
"262","45"
