"DeviceName","Стенд N 2"
"LTime","504.441731"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","1"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","3"
"80","5"
"81","6"
"82","5"
"83","9"
"84","7"
"85","8"
"86","4"
"87","3"
"88","10"
"89","7"
"90","9"
"91","12"
"92","11"
"93","13"
"94","13"
"95","11"
"96","14"
"97","9"
"98","14"
"99","17"
"100","13"
"101","14"
"102","11"
"103","18"
"104","16"
"105","14"
"106","16"
"107","17"
"108","20"
"109","23"
"110","10"
"111","21"
"112","19"
"113","24"
"114","24"
"115","23"
"116","16"
"117","22"
"118","19"
"119","30"
"120","20"
"121","27"
"122","19"
"123","22"
"124","21"
"125","37"
"126","22"
"127","22"
"128","24"
"129","26"
"130","24"
"131","22"
"132","14"
"133","17"
"134","34"
"135","23"
"136","21"
"137","22"
"138","22"
"139","31"
"140","29"
"141","22"
"142","31"
"143","36"
"144","26"
"145","28"
"146","46"
"147","38"
"148","26"
"149","34"
"150","44"
"151","41"
"152","59"
"153","31"
"154","46"
"155","55"
"156","44"
"157","42"
"158","46"
"159","54"
"160","58"
"161","60"
"162","46"
"163","60"
"164","57"
"165","66"
"166","52"
"167","57"
"168","46"
"169","71"
"170","69"
"171","74"
"172","61"
"173","66"
"174","59"
"175","77"
"176","74"
"177","77"
"178","94"
"179","75"
"180","73"
"181","74"
"182","70"
"183","77"
"184","85"
"185","104"
"186","89"
"187","69"
"188","90"
"189","95"
"190","88"
"191","92"
"192","73"
"193","93"
"194","86"
"195","94"
"196","99"
"197","80"
"198","90"
"199","76"
"200","87"
"201","109"
"202","94"
"203","87"
"204","89"
"205","103"
"206","84"
"207","98"
"208","93"
"209","94"
"210","80"
"211","83"
"212","94"
"213","96"
"214","101"
"215","97"
"216","91"
"217","91"
"218","85"
"219","97"
"220","104"
"221","101"
"222","100"
"223","95"
"224","78"
"225","84"
"226","89"
"227","80"
"228","82"
"229","88"
"230","102"
"231","81"
"232","80"
"233","102"
"234","87"
"235","70"
"236","88"
"237","84"
"238","81"
"239","105"
"240","113"
"241","76"
"242","85"
"243","87"
"244","73"
"245","93"
"246","98"
"247","75"
"248","85"
"249","66"
"250","61"
"251","91"
"252","85"
"253","92"
"254","67"
"255","95"
"256","82"
"257","78"
"258","78"
"259","59"
"260","89"
"261","81"
"262","74"
"263","84"
"264","63"
"265","90"
"266","74"
"267","82"
"268","56"
"269","53"
"270","75"
"271","70"
"272","69"
"273","59"
"274","83"
"275","83"
"276","54"
"277","53"
"278","63"
"279","64"
"280","62"
"281","57"
"282","64"
"283","68"
"284","58"
"285","56"
"286","64"
"287","72"
"288","57"
"289","61"
"290","54"
"291","65"
"292","54"
"293","59"
"294","61"
"295","61"
"296","48"
"297","56"
"298","52"
"299","59"
"300","59"
"301","59"
"302","64"
"303","53"
"304","54"
"305","51"
"306","67"
"307","48"
"308","53"
"309","60"
"310","49"
"311","45"
"312","58"
"313","54"
"314","44"
"315","58"
"316","63"
"317","51"
"318","61"
"319","39"
"320","58"
"321","35"
"322","44"
"323","69"
"324","46"
"325","46"
"326","53"
"327","51"
"328","51"
"329","42"
"330","32"
"331","38"
"332","43"
"333","49"
"334","38"
"335","46"
"336","46"
"337","34"
"338","42"
"339","29"
"340","37"
"341","42"
"342","48"
