"DeviceName","Стенд N 2"
"LTime","600.192073"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","1"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","1"
"60","0"
"61","1"
"62","1"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","1"
"69","0"
"70","0"
"71","0"
"72","1"
"73","0"
"74","0"
"75","0"
"76","0"
"77","1"
"78","6"
"79","5"
"80","9"
"81","1"
"82","9"
"83","13"
"84","13"
"85","17"
"86","20"
"87","21"
"88","21"
"89","20"
"90","24"
"91","33"
"92","23"
"93","28"
"94","43"
"95","38"
"96","36"
"97","37"
"98","36"
"99","45"
"100","39"
"101","32"
"102","50"
"103","50"
"104","54"
"105","47"
"106","58"
"107","49"
"108","51"
"109","67"
"110","52"
"111","66"
"112","39"
"113","45"
"114","56"
"115","64"
"116","58"
"117","52"
"118","74"
"119","66"
"120","64"
"121","69"
"122","60"
"123","50"
"124","80"
"125","76"
"126","72"
"127","60"
"128","61"
"129","60"
"130","65"
"131","69"
"132","65"
"133","90"
"134","69"
"135","73"
"136","75"
"137","58"
"138","65"
"139","69"
"140","71"
"141","88"
"142","88"
"143","90"
"144","99"
"145","82"
"146","108"
"147","91"
"148","89"
"149","94"
"150","101"
"151","88"
"152","101"
"153","100"
"154","92"
"155","120"
"156","115"
"157","122"
"158","136"
"159","123"
"160","141"
"161","127"
"162","139"
"163","133"
"164","139"
"165","144"
"166","132"
"167","139"
"168","136"
"169","142"
"170","136"
"171","113"
"172","139"
"173","138"
"174","131"
"175","138"
"176","145"
"177","148"
"178","138"
"179","152"
"180","143"
"181","141"
"182","132"
"183","152"
"184","147"
"185","145"
"186","145"
"187","170"
"188","151"
"189","150"
"190","137"
"191","165"
"192","168"
"193","147"
"194","146"
"195","153"
"196","152"
"197","158"
"198","144"
"199","145"
"200","183"
"201","175"
"202","173"
"203","147"
"204","155"
"205","170"
"206","159"
"207","168"
"208","183"
"209","148"
"210","184"
"211","176"
"212","169"
"213","161"
"214","166"
"215","174"
"216","153"
"217","169"
"218","165"
"219","143"
"220","166"
"221","149"
"222","133"
"223","161"
"224","165"
"225","168"
"226","205"
"227","169"
