"DeviceName","Стенд N 2"
"LTime","314.11302"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","0"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","1"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","1"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","1"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","2"
"79","3"
"80","4"
"81","2"
"82","4"
"83","7"
"84","7"
"85","8"
"86","8"
"87","16"
"88","10"
"89","19"
"90","15"
"91","19"
"92","20"
"93","14"
"94","15"
"95","23"
"96","27"
"97","24"
"98","22"
"99","28"
"100","23"
"101","39"
"102","39"
"103","33"
"104","32"
"105","41"
"106","42"
"107","51"
"108","49"
"109","51"
"110","57"
"111","85"
"112","95"
"113","82"
"114","94"
"115","126"
"116","123"
"117","124"
"118","165"
"119","178"
"120","157"
"121","137"
"122","138"
"123","160"
"124","128"
"125","127"
"126","130"
"127","99"
"128","91"
"129","87"
"130","82"
"131","70"
"132","87"
"133","57"
"134","55"
"135","58"
"136","55"
"137","38"
"138","36"
"139","51"
"140","38"
"141","46"
"142","48"
"143","40"
"144","41"
"145","47"
"146","35"
"147","38"
"148","41"
"149","50"
"150","52"
"151","51"
"152","45"
"153","59"
"154","44"
"155","62"
"156","63"
"157","59"
"158","69"
"159","66"
"160","49"
"161","75"
"162","72"
"163","67"
"164","62"
"165","72"
"166","63"
"167","68"
"168","73"
"169","72"
"170","69"
"171","74"
"172","55"
"173","74"
"174","67"
"175","76"
"176","83"
"177","64"
"178","78"
"179","85"
"180","74"
"181","84"
"182","72"
"183","78"
"184","79"
"185","75"
"186","72"
"187","69"
"188","85"
"189","82"
"190","75"
"191","77"
"192","91"
"193","85"
"194","74"
"195","97"
"196","68"
