"DeviceName","Стенд N 2"
"LTime","721.520329"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","1"
"3","0"
"4","0"
"5","0"
"6","0"
"7","1"
"8","0"
"9","0"
"10","0"
"11","0"
"12","1"
"13","0"
"14","0"
"15","0"
"16","2"
"17","1"
"18","1"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","1"
"27","1"
"28","2"
"29","0"
"30","0"
"31","1"
"32","1"
"33","0"
"34","1"
"35","1"
"36","1"
"37","1"
"38","2"
"39","2"
"40","0"
"41","2"
"42","1"
"43","2"
"44","2"
"45","1"
"46","3"
"47","2"
"48","2"
"49","1"
"50","5"
"51","1"
"52","2"
"53","3"
"54","5"
"55","3"
"56","1"
"57","3"
"58","4"
"59","2"
"60","1"
"61","0"
"62","6"
"63","5"
"64","4"
"65","3"
"66","5"
"67","2"
"68","4"
"69","5"
"70","6"
"71","5"
"72","4"
"73","7"
"74","2"
"75","5"
"76","6"
"77","9"
"78","7"
"79","11"
"80","12"
"81","29"
"82","37"
"83","56"
"84","74"
"85","127"
"86","141"
"87","171"
"88","208"
"89","254"
"90","264"
"91","259"
"92","260"
"93","269"
"94","262"
"95","241"
"96","227"
"97","282"
"98","203"
"99","212"
"100","212"
"101","192"
"102","186"
"103","173"
"104","181"
"105","215"
"106","214"
"107","206"
"108","213"
"109","218"
"110","271"
"111","250"
"112","342"
"113","339"
"114","369"
"115","439"
"116","477"
"117","560"
"118","670"
"119","763"
"120","933"
"121","1070"
"122","1306"
"123","1515"
"124","1680"
"125","2030"
"126","2409"
"127","2578"
"128","2880"
"129","3220"
"130","3410"
"131","3437"
"132","3517"
"133","3491"
"134","3563"
"135","3435"
"136","3328"
"137","3154"
"138","3015"
"139","2730"
"140","2411"
"141","2190"
"142","1918"
"143","1771"
"144","1530"
"145","1328"
"146","1165"
"147","1033"
"148","910"
"149","792"
"150","655"
"151","612"
"152","523"
"153","432"
"154","467"
"155","349"
"156","318"
"157","292"
"158","277"
"159","274"
"160","267"
"161","255"
"162","273"
"163","256"
"164","254"
"165","227"
"166","273"
"167","298"
"168","268"
"169","298"
