"DeviceName","Стенд N 2"
"LTime","521.271313"
"KevPerCh",""
"NullEnCh",""
"",""
"Channel","Counts"
"1","0"
"2","0"
"3","0"
"4","0"
"5","0"
"6","0"
"7","0"
"8","0"
"9","0"
"10","0"
"11","0"
"12","0"
"13","0"
"14","0"
"15","0"
"16","0"
"17","0"
"18","0"
"19","0"
"20","0"
"21","0"
"22","0"
"23","0"
"24","0"
"25","0"
"26","1"
"27","0"
"28","0"
"29","0"
"30","0"
"31","0"
"32","0"
"33","0"
"34","0"
"35","0"
"36","0"
"37","0"
"38","0"
"39","0"
"40","0"
"41","0"
"42","0"
"43","0"
"44","0"
"45","0"
"46","0"
"47","0"
"48","0"
"49","0"
"50","0"
"51","0"
"52","0"
"53","0"
"54","0"
"55","0"
"56","0"
"57","0"
"58","0"
"59","0"
"60","0"
"61","0"
"62","0"
"63","0"
"64","0"
"65","0"
"66","0"
"67","0"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","0"
"78","0"
"79","8"
"80","4"
"81","9"
"82","6"
"83","12"
"84","14"
"85","16"
"86","7"
"87","5"
"88","6"
"89","10"
"90","13"
"91","13"
"92","14"
"93","12"
"94","13"
"95","15"
"96","22"
"97","24"
"98","17"
"99","20"
"100","15"
"101","17"
"102","20"
"103","23"
"104","26"
"105","21"
"106","23"
"107","19"
"108","26"
"109","19"
"110","36"
"111","15"
"112","24"
"113","27"
"114","30"
"115","18"
"116","25"
"117","33"
"118","24"
"119","26"
"120","39"
"121","33"
"122","43"
"123","40"
"124","45"
"125","41"
"126","35"
"127","28"
"128","38"
"129","25"
"130","35"
"131","32"
"132","29"
"133","33"
"134","31"
"135","32"
"136","32"
"137","35"
"138","35"
"139","31"
"140","36"
"141","33"
"142","51"
"143","32"
"144","45"
"145","47"
"146","41"
"147","36"
"148","32"
"149","32"
"150","51"
"151","41"
"152","54"
"153","45"
"154","42"
"155","50"
"156","53"
"157","56"
"158","60"
"159","60"
"160","53"
"161","68"
"162","65"
"163","77"
"164","86"
"165","65"
"166","85"
"167","73"
"168","79"
"169","90"
"170","63"
"171","85"
"172","73"
"173","79"
"174","75"
"175","88"
"176","87"
"177","85"
"178","79"
"179","93"
"180","87"
"181","86"
"182","85"
"183","97"
"184","99"
"185","107"
"186","100"
"187","88"
"188","100"
"189","82"
"190","113"
"191","102"
"192","101"
"193","104"
"194","103"
"195","91"
"196","101"
"197","90"
"198","97"
"199","112"
"200","109"
"201","105"
"202","101"
"203","103"
"204","113"
"205","104"
"206","112"
"207","110"
"208","93"
"209","100"
"210","113"
"211","83"
"212","92"
"213","103"
"214","108"
"215","112"
"216","88"
"217","103"
"218","117"
"219","89"
"220","104"
"221","98"
"222","91"
"223","90"
"224","88"
"225","101"
"226","94"
"227","86"
"228","89"
"229","110"
"230","101"
"231","90"
"232","101"
"233","91"
"234","101"
"235","110"
"236","94"
"237","99"
"238","118"
"239","98"
"240","81"
"241","98"
"242","88"
"243","84"
"244","109"
"245","87"
"246","90"
"247","105"
"248","116"
"249","94"
"250","86"
"251","90"
"252","91"
"253","108"
"254","89"
"255","93"
"256","98"
"257","93"
"258","87"
"259","93"
"260","85"
"261","88"
"262","76"
"263","69"
"264","84"
"265","99"
"266","72"
"267","66"
"268","85"
"269","74"
"270","62"
"271","78"
"272","84"
"273","91"
"274","83"
"275","73"
"276","88"
"277","68"
"278","75"
"279","66"
"280","79"
"281","82"
"282","83"
"283","66"
"284","76"
"285","70"
"286","82"
"287","83"
"288","69"
"289","68"
"290","66"
"291","81"
"292","69"
"293","70"
"294","61"
"295","93"
"296","73"
"297","84"
"298","70"
"299","61"
"300","70"
"301","78"
"302","78"
"303","84"
"304","56"
"305","57"
"306","64"
"307","55"
"308","58"
"309","66"
"310","67"
"311","81"
"312","67"
"313","55"
"314","53"
"315","76"
"316","61"
"317","70"
"318","54"
"319","54"
"320","54"
"321","61"
"322","56"
"323","60"
"324","77"
"325","57"
"326","63"
"327","57"
"328","67"
"329","64"
"330","56"
"331","48"
"332","53"
"333","54"
"334","72"
"335","56"
"336","65"
"337","50"
"338","57"
"339","59"
"340","58"
"341","46"
"342","38"
"343","59"
"344","51"
"345","49"
"346","62"
"347","58"
"348","64"
"349","45"
"350","38"
"351","53"
"352","41"
"353","42"
"354","44"
"355","62"
"356","56"
"357","47"
"358","48"
"359","40"
"360","42"
"361","32"
"362","53"
"363","49"
"364","53"
"365","56"
"366","45"
"367","49"
"368","35"
"369","50"
"370","45"
"371","41"
"372","51"
"373","43"
"374","54"
"375","40"
"376","40"
"377","41"
"378","52"
"379","42"
"380","39"
"381","26"
"382","39"
"383","40"
"384","38"
"385","47"
"386","53"
"387","44"
"388","40"
"389","40"
"390","32"
"391","34"
"392","39"
"393","51"
"394","27"
"395","34"
"396","29"
"397","34"
"398","38"
"399","39"
"400","44"
"401","43"
"402","29"
"403","34"
"404","32"
"405","42"
"406","31"
"407","31"
"408","32"
"409","39"
"410","31"
"411","27"
"412","30"
"413","39"
"414","16"
"415","37"
"416","32"
"417","26"
"418","38"
"419","28"
"420","36"
"421","25"
"422","27"
"423","39"
"424","24"
"425","23"
"426","36"
"427","27"
"428","31"
"429","29"
"430","38"
"431","23"
"432","31"
"433","21"
"434","28"
"435","30"
"436","22"
"437","24"
"438","36"
"439","31"
"440","25"
"441","26"
"442","30"
"443","23"
"444","27"
"445","31"
"446","10"
"447","27"
"448","34"
"449","23"
"450","27"
"451","28"
"452","26"
"453","36"
"454","21"
"455","23"
"456","27"
"457","20"
"458","23"
